time,total_frp,total_cofire,total_co2fire,total_pm2p5fire,country
2021-09-01,0.0,0.0,0.0,0.0,Cambodia
2021-09-02,0.0851757489144802,2.21249751852781e-09,3.15849995047301e-08,2.07856107325988e-10,Cambodia
2021-09-03,0.0454270653426647,1.10624875926391e-09,1.70073075622668e-08,1.0939794903297401e-10,Cambodia
2021-09-04,0.0,0.0,0.0,0.0,Cambodia
2021-09-05,0.0,0.0,0.0,0.0,Cambodia
2021-09-06,0.0302847102284431,8.849989630022039e-10,1.2148076322660001e-08,7.65785629353033e-11,Cambodia
2021-09-07,0.0,0.0,0.0,0.0,Cambodia
2021-09-08,0.0,0.0,0.0,0.0,Cambodia
2021-09-09,0.0,0.0,0.0,0.0,Cambodia
2021-09-10,0.0,0.0,0.0,0.0,Cambodia
2021-09-11,0.0,0.0,0.0,0.0,Cambodia
2021-09-12,0.0,0.0,0.0,0.0,Cambodia
2021-09-13,0.0492126569151878,1.32749844450331e-09,1.9436921405713302e-08,1.20337739772935e-10,Cambodia
2021-09-14,0.0492126569151878,1.32749844450331e-09,1.9436921405713302e-08,1.20337739772935e-10,Cambodia
2021-09-15,0.0,0.0,0.0,0.0,Cambodia
2021-09-16,0.0889613404870033,8.62874038887185e-09,1.38488076117937e-07,7.65785657108609e-10,Cambodia
2021-09-17,0.17224429547786702,4.64624461127272e-09,6.31699954567466e-08,4.15712200774188e-10,Cambodia
2021-09-18,0.071926187723875,4.42499492603332e-09,6.802922847271019e-08,3.82892835493198e-10,Cambodia
2021-09-19,0.0,0.0,0.0,0.0,Cambodia
2021-09-20,0.0,0.0,0.0,0.0,Cambodia
2021-09-21,0.0,0.0,0.0,0.0,Cambodia
2021-09-22,0.0,0.0,0.0,0.0,Cambodia
2021-09-23,0.0,0.0,0.0,0.0,Cambodia
2021-09-24,0.0,0.0,0.0,0.0,Cambodia
2021-09-25,0.0,0.0,0.0,0.0,Cambodia
2021-09-26,0.0776045694947243,1.99124761124381e-09,2.91553838849268e-08,1.85976511968278e-10,Cambodia
2021-09-27,0.558374356478453,3.4293710260424604e-08,5.393745823312199e-07,3.0959620214709997e-09,Cambodia
2021-09-28,0.0,0.0,0.0,0.0,Cambodia
2021-09-29,0.0851757489144802,3.982495444532221e-09,6.31699954567466e-08,3.6101323319659403e-10,Cambodia
2021-09-30,0.0,0.0,0.0,0.0,Cambodia
2021-09-01,0.0283919163048267,2.87624657424601e-09,4.61626896708367e-08,2.5161528416362005e-10,Laos
2021-09-02,0.0,0.0,0.0,0.0,Laos
2021-09-03,0.0,0.0,0.0,0.0,Laos
2021-09-04,0.0,0.0,0.0,0.0,Laos
2021-09-05,0.0,0.0,0.0,0.0,Laos
2021-09-06,0.0,0.0,0.0,0.0,Laos
2021-09-07,0.0586766265332699,5.531243463252621e-09,8.989576372187e-08,5.032305683272401e-10,Laos
2021-09-08,0.0,0.0,0.0,0.0,Laos
2021-09-09,0.0,0.0,0.0,0.0,Laos
2021-09-10,0.0,0.0,0.0,0.0,Laos
2021-09-11,0.257420048117638,2.5001221537479503e-08,4.00886534634992e-07,2.23171819913048e-09,Laos
2021-09-12,0.132495611906052,1.28324852965989e-08,2.0651729926157698e-07,1.14867848566291e-09,Laos
2021-09-13,0.0113567663356662,1.10624875926391e-09,1.70073075622668e-08,8.75183606141583e-11,Laos
2021-09-14,0.0,0.0,0.0,0.0,Laos
2021-09-15,0.0,0.0,0.0,0.0,Laos
2021-09-16,0.0,0.0,0.0,0.0,Laos
2021-09-17,0.0,0.0,0.0,0.0,Laos
2021-09-18,0.0738189853727818,5.309993778013221e-09,1.0447345744069e-07,4.70411196107356e-10,Laos
2021-09-19,0.0,0.0,0.0,0.0,Laos
2021-09-20,0.0,0.0,0.0,0.0,Laos
2021-09-21,0.0,0.0,0.0,0.0,Laos
2021-09-22,0.0889613404870033,5.97374305577603e-09,1.2391038239911699e-07,5.25110177562738e-10,Laos
2021-09-23,0.0435342714190483,4.20374535181622e-09,6.55996146292637e-08,3.71953023936555e-10,Laos
2021-09-24,0.0321775041520596,3.09749648153002e-09,5.10219209104434e-08,2.84434670261291e-10,Laos
2021-09-25,0.0,0.0,0.0,0.0,Laos
2021-09-26,0.0397486835718155,3.76124553724821e-09,6.07403833896569e-08,3.3913363783888397e-10,Laos
2021-09-27,0.0189279448240995,1.7699979260044101e-09,2.91553838849268e-08,1.6409693048835498e-10,Laos
2021-09-28,0.0,0.0,0.0,0.0,Laos
2021-09-29,0.0,0.0,0.0,0.0,Laos
2021-09-30,0.0,0.0,0.0,0.0,Laos
2021-09-01,0.0,0.0,0.0,0.0,Myanmar
2021-09-02,0.0662478059530258,6.416242426254829e-09,1.0447345744069e-07,5.6886935440037e-10,Myanmar
2021-09-03,0.0189279448240995,1.99124761124381e-09,3.15849995047301e-08,1.75036721228317e-10,Myanmar
2021-09-04,0.0,0.0,0.0,0.0,Myanmar
2021-09-05,0.0,0.0,0.0,0.0,Myanmar
2021-09-06,0.20442179962992701,1.9912476556527298e-08,3.1827960356167803e-07,1.7722468215186602e-09,Myanmar
2021-09-07,0.0378558896481991,3.76124553724821e-09,6.07403833896569e-08,3.28193860976711e-10,Myanmar
2021-09-08,0.0283919163048267,2.6549968890066103e-09,4.37330740510333e-08,2.5161528416362005e-10,Myanmar
2021-09-09,0.0,0.0,0.0,0.0,Myanmar
2021-09-10,0.079497367143631,7.74374075973583e-09,1.2391038239911699e-07,6.892070802955171e-10,Myanmar
2021-09-11,0.130602814257145,1.23899857040755e-08,2.04087687194487e-07,1.1267988903052e-09,Myanmar
2021-09-12,0.0283919163048267,2.6549968890066103e-09,4.37330740510333e-08,2.40675479545871e-10,Myanmar
2021-09-13,0.471305817365646,4.27012001313898e-08,6.85151505308568e-07,3.96020580217815e-09,Myanmar
2021-09-14,0.0908541344106197,8.62873994478264e-09,1.43347300252117e-07,7.876652385885311e-10,Myanmar
2021-09-15,0.0738189816474915,3.7612456482705195e-09,5.5881148597336505e-08,4.59471405367395e-10,Myanmar
2021-09-16,0.0870685428380966,6.41624264829943e-09,1.02043838268173e-07,6.45447889580097e-10,Myanmar
2021-09-17,0.0870685428380966,6.41624264829943e-09,1.02043838268173e-07,6.45447889580097e-10,Myanmar
2021-09-18,0.0738189816474915,2.87624657424601e-09,4.13034602075868e-08,3.1725404248117397e-10,Myanmar
2021-09-19,0.0605694204568863,5.75249314849202e-09,9.475499496147681e-08,5.25110177562738e-10,Myanmar
2021-09-20,0.0,0.0,0.0,0.0,Myanmar
2021-09-21,0.0,0.0,0.0,0.0,Myanmar
2021-09-22,0.20252899825573,1.94699771860485e-08,3.15849987941874e-07,1.75036724003874e-09,Myanmar
2021-09-23,0.109782077372074,1.0619987778071e-08,1.7250268768975698e-07,9.6270194593906e-10,Myanmar
2021-09-24,0.0435342714190483,4.20374535181622e-09,6.8029230249067e-08,3.82892828554304e-10,Myanmar
2021-09-25,0.0397486835718155,3.76124553724821e-09,6.07403833896569e-08,3.3913363783888397e-10,Myanmar
2021-09-26,0.0,0.0,0.0,0.0,Myanmar
2021-09-27,0.0,0.0,0.0,0.0,Myanmar
2021-09-28,0.0378558896481991,3.76124553724821e-09,6.07403833896569e-08,3.3913363783888397e-10,Myanmar
2021-09-29,0.0397486835718155,3.76124553724821e-09,6.316999900946031e-08,3.50073442456633e-10,Myanmar
2021-09-30,0.206314593553543,1.99124770006165e-08,3.23138827695857e-07,1.7941264307541601e-09,Myanmar
2021-09-01,0.0889613404870033,8.62874038887185e-09,1.38488076117937e-07,7.767254617263571e-10,Thailand
2021-09-02,0.0605694241821766,3.982495444532221e-09,8.26069168624599e-08,3.50073442456633e-10,Thailand
2021-09-03,0.0,0.0,0.0,0.0,Thailand
2021-09-04,0.529982442036271,1.74787298523604e-08,3.20709217405124e-07,1.58627030261149e-09,Thailand
2021-09-05,0.0,0.0,0.0,0.0,Thailand
