"x","y","frp_value","cofire_value","co2fire_value","pm2p5fire_value","time","country","province","amphoe"
104.950003558509,16.1499994520746,0.0435234270989895,2.07594741397088e-09,5.53148176152263e-08,1.66227184794643e-10,"2021-04-02","Thailand","Amnat Charoen","Chanuman"
104.550003544943,15.6499994690382,0.0340473353862762,9.26731968942107e-10,1.24867414186269e-08,8.19009790542502e-11,"2021-03-03","Thailand","Amnat Charoen","Hua Taphan"
104.650003548335,15.7499994656455,0.0290156193077564,8.89691709193841e-10,1.20249605828349e-08,6.39335320795631e-11,"2021-04-07","Thailand","Amnat Charoen","Lu Amnat"
104.650003548335,15.8499994622528,0.0567838326096535,1.54874824076501e-09,2.18665370255167e-08,1.31277544390684e-10,"2021-09-06","Thailand","Amnat Charoen","Muang Amnat Charoen"
104.950003558509,15.8499994622528,0.251950263977051,1.20475158738031e-08,3.23406595725828e-07,9.69880065149198e-10,"2021-03-07","Thailand","Amnat Charoen","Pathum Ratwongsa"
104.850003555118,15.6499994690382,0.135966449975967,3.61924756830945e-09,5.16644327319682e-08,3.24064108880862e-10,"2020-03-12","Thailand","Amnat Charoen","Phana"
104.550003544943,16.0499994554673,0.0184828378260136,8.72218353098475e-10,2.3724808784209e-08,7.32798266511736e-11,"2021-03-01","Thailand","Amnat Charoen","Senangkhanikhom"
100.450003405889,14.6499995029655,0.0330054722726345,8.84310291660029e-10,1.2749040934068e-08,8.04926403308315e-11,"2021-02-04","Thailand","Ang Thong","Chaiyo"
100.450003405889,14.5499995063582,0.095332533121109,2.56214138794064e-09,3.62115493146575e-08,2.28460625417704e-10,"2021-03-07","Thailand","Ang Thong","Muang Ang Thong"
100.450003405889,14.449999509751,0.34356701374054,9.25073173618784e-09,1.3080240535146e-07,8.18166812077692e-10,"2020-11-16","Thailand","Ang Thong","Pa Mok"
100.350003402497,14.6499995029655,0.0638343617320061,1.77938341838768e-09,2.40499211656697e-08,1.53440468664279e-10,"2021-04-18","Thailand","Ang Thong","Pho Thong"
100.250003399105,14.5499995063582,0.0191781409084797,5.25556598240939e-10,7.03351643593919e-09,4.74793850069322e-11,"2021-01-05","Thailand","Ang Thong","Samko"
100.250003399105,14.7499994995728,0.023087689653039,7.44769690363967e-10,1.10937596886629e-08,4.52961487762416e-11,"2021-08-24","Thailand","Ang Thong","Sawaengha"
100.350003402497,14.5499995063582,0.0200197119265795,4.912835138704e-10,7.17133552541327e-09,4.66010008359774e-11,"2021-02-01","Thailand","Ang Thong","Wiset Chai Chan"
100.350003402497,13.6499995368928,0.0514519810676575,1.40208300525302e-09,1.98978948873219e-08,1.23256807538219e-10,"2020-05-08","Thailand","Bangkok Metropolis","Bang Bon"
100.650003412672,13.8499995301073,0.020560784265399,9.82567027740799e-10,2.70917119848946e-08,8.04926403308315e-11,"2021-02-20","Thailand","Bangkok Metropolis","Bang Khen"
100.450003405889,13.6499995368928,0.0503951460123062,2.37342945297314e-09,6.46878532961637e-08,1.99868677164261e-10,"2020-08-09","Thailand","Bangkok Metropolis","Bangkhuntien"
100.55000340928,13.8499995301073,0.0391663461923599,1.86005078006701e-09,5.07375155223144e-08,1.52932250196969e-10,"2020-04-04","Thailand","Bangkok Metropolis","Chatuchak"
98.6500033448401,18.3499993774346,0.0380486808717251,2.00285343865403e-09,4.87265623405619e-08,1.55439730531448e-10,"2021-05-02","Thailand","Bangkok Metropolis","Chom Thong"
100.750003416063,13.8499995301073,0.0380297228693962,1.86944415503376e-09,4.92709801847013e-08,1.45008005603131e-10,"2020-05-08","Thailand","Bangkok Metropolis","Khlong Sam Wa"
100.750003416063,13.7499995335001,0.034070298075676,1.54874824076501e-09,4.37330740510333e-08,1.31277544390684e-10,"2021-09-27","Thailand","Bangkok Metropolis","Lat Krabang"
100.850003419455,13.8499995301073,0.0378558896481991,1.76999792600441e-09,4.85923052906401e-08,1.53157125870607e-10,"2021-09-29","Thailand","Bangkok Metropolis","Nong Chok"
100.450003405889,13.7499995335001,0.0117889987304807,6.03207928051575e-10,1.572395724736e-08,4.89153370586415e-11,"2020-03-14","Thailand","Bangkok Metropolis","Taling Chan"
100.350003402497,13.7499995335001,0.0627722144126892,1.72981040602593e-09,2.29035457266491e-08,1.40273778703737e-10,"2021-06-19","Thailand","Bangkok Metropolis","Thawi Wattana"
100.55000340928,13.7499995335001,0.0400426536798477,1.86445725525175e-09,5.03898043291429e-08,1.56359633574077e-10,"2020-02-17","Thailand","Bangkok Metropolis","Wattana"
103.650003514419,18.3499993774346,0.0889613404870033,8.62874038887185e-09,1.38488076117937e-07,7.76725461726357e-10,"2021-09-01","Thailand","Bueng Kan","Bung Kan"
104.150003531377,18.0499993876128,0.0875502899289131,8.50412895658792e-09,1.37354163598502e-07,7.62972296453057e-10,"2021-03-09","Thailand","Bueng Kan","Bung Khong Long"
103.950003524594,18.2499993808273,0.0471311621367931,4.75747663486459e-09,7.41939771842226e-08,4.10248529592039e-10,"2019-04-19","Thailand","Bueng Kan","K. Bung Khla"
103.250003500853,18.3499993774346,0.0544757358729839,5.28782351238988e-09,8.49098427124773e-08,4.74163597274924e-10,"2021-03-21","Thailand","Bueng Kan","Pak Khat"
103.750003517811,18.0499993876128,0.023087689653039,2.2343091821142e-09,3.32812781778102e-08,1.81184595104966e-10,"2021-08-23","Thailand","Bueng Kan","Phon Charoen"
103.950003524594,17.9499993910055,0.0197894480079412,1.1171545910571e-09,2.77343996657464e-08,9.05922975524831e-11,"2021-08-05","Thailand","Bueng Kan","Seka"
103.750003517811,18.1499993842201,0.0164912063628435,1.48953938072793e-09,2.21875193773258e-08,1.35888439389831e-10,"2021-08-21","Thailand","Bueng Kan","Si Wilai"
103.450003507636,18.0499993876128,0.0164912063628435,1.86192428142107e-09,2.77343996657464e-08,1.35888439389831e-10,"2021-08-21","Thailand","Bueng Kan","So Phisai"
103.150003497461,14.449999509751,0.0389112383127213,1.85346393788421e-09,4.99469656745077e-08,1.50870232973332e-10,"2021-03-13","Thailand","Buri Ram","Ban Kruat"
102.850003487286,14.5499995063582,0.0378751307725906,9.82567027740799e-10,1.43426710508265e-08,9.32020016719548e-11,"2021-02-26","Thailand","Buri Ram","Chalermphrakiet"
102.350003470328,14.9499994927873,0.041121568530798,1.08082376382157e-09,1.51394861092058e-08,9.74384600782585e-11,"2021-02-08","Thailand","Buri Ram","Chalermphrakiet"
99.9500033889306,8.24999972010004,0.0532185137271881,5.07894082346638e-09,8.28587687351501e-08,4.70698813259673e-10,"2019-07-09","Thailand","Buri Ram","Chalermphrakiet"
101.050003426238,19.5499993367219,0.0203109327703714,2.07594741397088e-09,3.12648964495565e-08,1.79013887047219e-10,"2021-04-02","Thailand","Buri Ram","Chalermphrakiet"
102.850003487286,14.7499994995728,0.0775421410799026,2.11421258278222e-09,2.86294330464898e-08,1.87031709564245e-10,"2021-06-05","Thailand","Buri Ram","Cham Ni"
103.250003500853,15.0499994893946,0.030156210064888,8.17704681743692e-10,1.12380673655821e-08,7.32798266511736e-11,"2021-03-26","Thailand","Buri Ram","Huai Rat"
103.05000349407,15.2499994826092,0.017808273434639,4.5986203733861e-10,7.03351643593919e-09,4.22038966274574e-11,"2021-01-21","Thailand","Buri Ram","K. Daen Kong"
103.05000349407,15.4499994758237,0.0321017727255821,8.72218353098475e-10,1.24867414186269e-08,7.75904063221589e-11,"2021-03-01","Thailand","Buri Ram","Khu Muang"
103.250003500853,14.9499994927873,0.132681041955948,3.61834096018754e-09,5.03315646938063e-08,3.13150866348977e-10,"2020-06-01","Thailand","Buri Ram","Krasang"
102.850003487286,14.3499995131437,0.0757502615451813,3.63549790272089e-09,9.72114406749824e-08,2.92315366356988e-10,"2021-02-03","Thailand","Buri Ram","Lahan Sai"
102.850003487286,15.0499994893946,0.0132495611906052,4.42499481501102e-10,4.85923035142832e-09,3.28193860976711e-11,"2021-09-29","Thailand","Buri Ram","Lam Plai Mat"
103.150003497461,14.9499994927873,0.0365010843849909,9.98633440506565e-10,1.366553444872e-08,8.96552381180232e-11,"2021-10-01","Thailand","Buri Ram","Muang Buri Ram"
102.950003490678,15.7499994656455,0.0961355790495872,2.53643284153782e-09,3.70246731051793e-08,2.33422919881932e-10,"2020-04-04","Thailand","Buri Ram","Na Pho"
102.750003483895,14.6499995029655,0.0443097949028015,1.15320686333575e-09,1.71776601831652e-08,1.16894813273483e-10,"2021-06-21","Thailand","Buri Ram","Nang Rong"
102.750003483895,14.3499995131437,0.032982412725687,1.48953938072793e-09,4.43750387546515e-08,1.35888439389831e-10,"2021-08-12","Thailand","Buri Ram","Non Din Daeng"
102.550003477112,14.5499995063582,0.0408568009734154,1.09027287198415e-09,1.49840904128951e-08,9.91432907992973e-11,"2021-03-14","Thailand","Buri Ram","Non Suwan"
102.750003483895,14.8499994961801,0.0406736359000206,1.0836562758243e-09,1.59528124044073e-08,9.90783358134628e-11,"2020-12-04","Thailand","Buri Ram","Nong Hong"
102.550003477112,14.6499995029655,0.0282106474041939,7.63191010388908e-10,1.12380673655821e-08,6.89692469801884e-11,"2021-03-01","Thailand","Buri Ram","Nong Ki"
102.650003480503,14.3499995131437,0.0200197119265795,9.82567027740799e-10,2.54980818681361e-08,7.62561819245278e-11,"2021-02-07","Thailand","Buri Ram","Pa Kham"
103.150003497461,14.6499995029655,0.223739624023438,5.99650107346861e-09,8.49098427124773e-08,5.34511657157566e-10,"2021-03-14","Thailand","Buri Ram","Phlapphlachai"
103.05000349407,15.549999472431,0.0243195239454508,6.54163723190493e-10,8.74071925949238e-09,6.03480945771118e-11,"2021-03-30","Thailand","Buri Ram","Phutthaisong"
103.05000349407,14.449999509751,0.0515573918819427,2.50762766107471e-09,6.61797301404476e-08,1.98286581598595e-10,"2021-03-01","Thailand","Buri Ram","Prakhon Chai"
103.250003500853,15.2499994826092,0.0524703088034215,1.40716530253195e-09,1.9522192069602e-08,1.26332380984485e-10,"2021-10-01","Thailand","Buri Ram","Satuk"
101.250003433021,13.8499995301073,0.0626665875315666,1.48953938072793e-09,2.21875193773258e-08,1.35888439389831e-10,"2021-08-13","Thailand","Chachoengsao","Bang Khla"
101.050003426238,13.9499995267146,0.023087689653039,7.44769690363967e-10,1.10937596886629e-08,4.52961487762416e-11,"2021-08-19","Thailand","Chachoengsao","Bang Nam Prieo"
100.950003422846,13.5499995402855,0.0757117792963982,1.99124761124381e-09,2.91553838849268e-08,1.85976511968278e-10,"2021-09-23","Thailand","Chachoengsao","Bang Pakong"
101.050003426238,13.6499995368928,0.0927469283342361,2.43374720376721e-09,3.40146151245335e-08,2.18795898065949e-10,"2021-09-04","Thailand","Chachoengsao","Muang Chachoengsao"
101.350003436413,13.6499995368928,0.034070298075676,8.84998963002204e-10,1.214807632266e-08,8.75183606141583e-11,"2021-09-18","Thailand","Chachoengsao","Phanom Sarakham"
101.250003433021,13.6499995368928,0.0214011818170547,5.99650107346861e-10,8.74071925949238e-09,5.17269352351413e-11,"2021-03-24","Thailand","Chachoengsao","Plaeng Yao"
101.250003433021,13.7499995335001,0.0321950390934944,8.01141375461611e-10,1.2993750075907e-08,8.63554089347573e-11,"2021-05-17","Thailand","Chachoengsao","Ratchasan"
101.650003446587,13.6499995368928,0.0290156193077564,2.96563906765357e-09,4.56948505700439e-08,2.55734128318252e-10,"2021-04-02","Thailand","Chachoengsao","Sanam Chaikhet"
101.650003446587,13.4499995436782,0.0395788960158825,3.72384856284214e-09,6.10156831726272e-08,3.17073034494797e-10,"2021-08-19","Thailand","Chachoengsao","Tha Ta Kieb"
100.050003392322,15.0499994893946,0.0824560299515724,2.2343091821142e-09,3.32812781778102e-08,1.81184595104966e-10,"2021-08-31","Thailand","Chai Nat","Han Kha"
99.8500033855391,14.9499994927873,0.0405804961919785,1.08082376382157e-09,1.51394861092058e-08,9.74384600782585e-11,"2021-02-02","Thailand","Chai Nat","K. Noen Kham"
99.7500033821475,15.2499994826092,0.0267776977270842,6.72179645277993e-10,9.32235444395246e-09,7.61268895144163e-11,"2021-07-05","Thailand","Chai Nat","K. Nong Ma Mong"
100.150003395714,15.3499994792164,0.0725613087415695,1.86192428142107e-09,2.77343996657464e-08,1.81184595104966e-10,"2021-08-05","Thailand","Chai Nat","Manorom"
100.150003395714,15.2499994826092,0.0197894480079412,3.72384845181983e-10,5.54687984433144e-09,4.52961487762416e-11,"2021-08-17","Thailand","Chai Nat","Muang Chai Nat"
100.250003399105,14.9499994927873,0.0193437449634075,5.93127824632944e-10,7.21497617206524e-09,5.11468228880929e-11,"2021-04-02","Thailand","Chai Nat","Sankha Buri"
100.250003399105,15.1499994860019,0.0197894480079412,3.72384845181983e-10,5.54687984433144e-09,4.52961487762416e-11,"2021-08-21","Thailand","Chai Nat","Sanphaya"
100.050003392322,15.1499994860019,0.024179682135582,5.93127824632944e-10,9.61996882153926e-09,5.11468228880929e-11,"2021-04-08","Thailand","Chai Nat","Wat Sing"
101.550003443196,15.549999472431,0.0232661515474319,5.89540194440019e-10,8.76496564217177e-09,5.50739107096909e-11,"2021-02-03","Thailand","Chaiyaphum","Bamnet Narong"
101.850003453371,15.7499994656455,0.0262650866061449,7.08677394545276e-10,9.98939331253723e-09,6.03480945771118e-11,"2021-03-14","Thailand","Chaiyaphum","Ban Khwao"
102.250003466937,16.4499994418964,0.0534248203039169,1.44528067291816e-09,2.11005488637284e-08,1.26611693351819e-10,"2021-01-03","Thailand","Chaiyaphum","Ban Thaen"
101.750003449979,15.6499994690382,0.0214011818170547,5.99650107346861e-10,8.74071925949238e-09,5.17269352351413e-11,"2021-03-05","Thailand","Chaiyaphum","Chatturat"
101.650003446587,15.6499994690382,0.0525301732122898,1.41735478909055e-09,1.99787866250745e-08,1.25006754947421e-10,"2021-03-21","Thailand","Chaiyaphum","K. Sap Yai"
102.250003466937,16.1499994520746,0.0380219629010305,1.04402586962036e-09,1.46416440522049e-08,9.3730476214285e-11,"2021-10-02","Thailand","Chaiyaphum","Kaeng Khlo"
101.950003456762,16.3499994452892,0.0266153740307224,7.26278865822764e-10,9.76109603480099e-09,6.52038095403733e-11,"2021-10-02","Thailand","Chaiyaphum","Kaset Sombon"
101.650003446587,16.649999435111,0.0243195239454508,2.34408670252151e-09,3.74602251440592e-08,2.1121832061155e-10,"2021-03-01","Thailand","Chaiyaphum","Khon San"
102.350003470328,15.9499994588601,0.023212494328618,5.93127824632944e-10,9.61996882153926e-09,5.11468228880929e-11,"2021-04-22","Thailand","Chaiyaphum","Khon Sawan"
102.050003460154,15.8499994622528,0.0362806543707848,1.1171545910571e-09,1.66406390889051e-08,9.05922975524831e-11,"2021-08-22","Thailand","Chaiyaphum","Muang Chaiyaphum"
101.950003456762,15.549999472431,0.0205480065196753,5.9125121465442e-10,8.79189521185708e-09,5.27548733864069e-11,"2021-01-21","Thailand","Chaiyaphum","Noen Sa-Nga"
101.850003453371,16.0499994554673,0.0296841729432344,7.44769690363967e-10,1.10937596886629e-08,9.05922975524831e-11,"2021-08-22","Thailand","Chaiyaphum","Nong Bua Daeng"
101.650003446587,15.7499994656455,0.119652062654495,3.21630500010883e-09,4.49522694623283e-08,2.84498147262724e-10,"2021-03-01","Thailand","Chaiyaphum","Nong Bua Rawae"
101.350003436413,15.8499994622528,0.0700402334332466,1.85346393788421e-09,2.62221568902987e-08,1.68112537779486e-10,"2021-03-19","Thailand","Chaiyaphum","Phakdi Chumphol"
102.150003463545,16.3499994452892,0.0480022802948952,1.34540811824735e-09,1.71776601831652e-08,1.16894813273483e-10,"2021-06-25","Thailand","Chaiyaphum","Phu Khieo"
101.450003439804,15.7499994656455,0.0223739631474018,5.99650107346861e-10,8.74071925949238e-09,5.60375149061265e-11,"2021-03-10","Thailand","Chaiyaphum","Thep Sathit"
102.050003460154,13.0499995572492,0.0303001049906015,2.9477009722001e-09,4.78089035027551e-08,2.62660199146225e-10,"2021-02-06","Thailand","Chanthaburi","K. Kao Kichakut"
101.850003453371,12.7499995674273,0.0462874993681908,1.18366860757391e-09,1.78266947870043e-08,1.12686929232275e-10,"2020-04-03","Thailand","Chanthaburi","K. Na Yai Am"
101.850003453371,13.0499995572492,0.0846319422125816,8.17704659539231e-09,1.3111078089878e-07,7.32798266511736e-10,"2021-03-23","Thailand","Chanthaburi","Kang Hang Maeo"
102.350003470328,12.7499995674273,0.0618587806820869,5.92995608172942e-09,9.61782404829137e-08,5.31808430626057e-10,"2020-11-14","Thailand","Chanthaburi","Khlung"
102.150003463545,12.4499995776055,0.0575344190001488,5.64973356986798e-09,9.14357158876555e-08,5.06446773407276e-10,"2021-01-21","Thailand","Chanthaburi","Laem Sing"
102.250003466937,12.6499995708201,0.0330745540559292,3.21630500010883e-09,5.11956415039094e-08,2.88808726933709e-10,"2021-03-04","Thailand","Chanthaburi","Makham"
102.050003460154,12.5499995742128,0.0683630779385567,6.59472521036264e-09,1.06960165169312e-07,5.95630877953113e-10,"2020-04-10","Thailand","Chanthaburi","Muang Chanthaburi"
102.45000347372,12.9499995606419,0.0919824615120888,8.94135965268106e-09,1.44223520237574e-07,8.00689903268648e-10,"2021-02-13","Thailand","Chanthaburi","Pong Nam Ron"
